代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元)
0998.HK,中信银行,2007-04-27,--,7.08,7.08,6.66,6.68,1964804163,13505455874,--,--,6.8737
0998.HK,中信银行,2007-04-30,6.68,6.63,6.74,6.53,6.57,399670043,2653630092,-0.11,-1.6467,6.6396
0998.HK,中信银行,2007-05-08,6.57,6.63,6.45,6.27,6.29,195331222,1237173062,-0.28,-4.2618,6.3337
0998.HK,中信银行,2007-05-09,6.29,6.22,6.45,6.15,6.43,239327236,1501416643,0.14,2.2258,6.2735
0998.HK,中信银行,2007-05-10,6.43,6.45,6.52,6.27,6.37,154999749,992149540,-0.06,-0.9331,6.4010
0998.HK,中信银行,2007-05-11,6.37,6.31,6.44,6.26,6.30,194882837,1235117462,-0.07,-1.0989,6.3377
0998.HK,中信银行,2007-05-14,6.30,6.55,6.58,6.35,6.41,212654657,1364126813,0.11,1.7460,6.4148
0998.HK,中信银行,2007-05-15,6.41,6.46,6.48,6.31,6.36,117776500,754716025,-0.05,-0.7800,6.4080
0998.HK,中信银行,2007-05-16,6.36,6.30,6.38,6.27,6.32,69432363,439101527,-0.04,-0.6289,6.3242
0998.HK,中信银行,2007-05-17,6.32,6.32,6.40,6.26,6.28,53545986,338367222,-0.04,-0.6329,6.3192
0998.HK,中信银行,2007-05-18,6.28,6.22,6.27,6.19,6.23,76312000,474554190,-0.05,-0.7962,6.2186
0998.HK,中信银行,2007-05-21,6.23,6.15,6.23,6.12,6.13,75663000,465458870,-0.10,-1.6051,6.1517
0998.HK,中信银行,2007-05-22,6.13,6.10,6.17,6.08,6.09,71357585,436286768,-0.04,-0.6525,6.1141
0998.HK,中信银行,2007-05-23,6.09,6.09,6.10,6.03,6.08,101244384,614182444,-0.01,-0.1642,6.0663
0998.HK,中信银行,2007-05-25,6.08,6.00,6.05,5.99,6.02,83390000,501882490,-0.06,-0.9868,6.0185
0998.HK,中信银行,2007-05-28,6.02,6.00,6.04,5.99,6.00,74554500,447886560,-0.02,-0.3322,6.0075
0998.HK,中信银行,2007-05-29,6.00,6.00,6.02,5.96,5.96,50968000,304798296,-0.04,-0.6667,5.9802
0998.HK,中信银行,2007-05-30,5.96,5.90,5.94,5.82,5.88,101094791,593453732,-0.08,-1.3423,5.8703
